City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
416,Singaparna,ID,70.03,overcast clouds,-7.3515,108.111,Wisma Dewi Hotel
418,Peniche,PT,71.29,broken clouds,39.3558,-9.3811,Hotel Star inn Peniche
420,Pachino,IT,76.28,clear sky,36.7186,15.0907,Il Veliero
422,Darnah,LY,74.37,clear sky,32.767,22.6367,فندق الفردوس
425,Cochabamba,BO,76.75,scattered clouds,-17.3895,-66.1568,Hotel Aranjuez Cochabamba
426,Linhares,BR,65.23,few clouds,-19.3911,-40.0722,Hotel Conceição
429,Sao Raimundo Das Mangabeiras,BR,84.9,broken clouds,-7.0219,-45.4811,Hotel Tropical
430,Cabo San Lucas,MX,85.6,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
431,Mamallapuram,IN,84.25,moderate rain,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
432,Kalmunai,LK,80.01,overcast clouds,7.4167,81.8167,VS Villa
434,Kavaratti,IN,80.91,overcast clouds,10.5669,72.642,Green leaf
435,Chabahar,IR,79.88,scattered clouds,25.2919,60.643,هتل گدروشیا
436,Craig,US,84.15,clear sky,40.5153,-107.5464,"Candlewood Suites Craig-Northwest, an IHG Hotel"
438,Cumbum,IN,71.82,overcast clouds,9.7333,77.3,Hotel Sagar Rooms
440,Ambilobe,MG,65.77,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
442,Aketi,CD,72.0,light rain,2.7388,23.7833,
447,Honiara,SB,87.1,broken clouds,-9.4333,159.95,Heritage Park Hotel
450,Koumac,NC,79.14,clear sky,-20.5667,164.2833,Le Monitel
451,Garhi Khairo,PK,80.94,clear sky,28.0606,67.9803,Haq bahoo masha ullha hotal
452,Amarpur,IN,77.27,few clouds,25.0333,86.9,Amit kirana store
454,Karpathos,GR,73.36,clear sky,35.507,27.2132,Alex
455,Pringsewu,ID,72.32,overcast clouds,-5.3582,104.9744,Urban Style by Front One
456,Jalu,LY,81.18,clear sky,29.0331,21.5482,صاحبة الفخامة
459,Immokalee,US,84.11,light rain,26.4187,-81.4173,Seminole Casino Hotel Immokalee
462,Cagliari,IT,71.94,clear sky,39.245,9.0912,Holiday Inn Cagliari
464,Savelugu,GH,71.56,overcast clouds,9.6244,-0.8253,Yoo Naa's Palace
465,Malakal,SS,74.91,overcast clouds,9.5334,31.6605,Nile Palace Hotel
468,Sioux Lookout,CA,69.87,scattered clouds,50.1001,-91.917,Knobby's Fly-In Camps
470,Shwebo,MM,74.46,few clouds,22.5667,95.7,MOON SHINE Guest House
471,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,Pirineos
472,Shimoda,JP,78.1,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
475,Luganville,VU,81.14,scattered clouds,-15.5333,167.1667,The Espiritu Hotel
476,Antalaha,MG,66.4,clear sky,-14.9003,50.2788,Hotel Vitasoa
477,Matay,EG,78.78,clear sky,28.419,30.7792,Nag Aespen
480,Broome,US,70.02,few clouds,42.2506,-75.833,Chenango Valley State Park
482,Xudat,AZ,74.03,clear sky,41.631,48.681,Hostel
483,Porto Novo,BJ,76.82,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
484,Portland,US,86.95,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
485,Sur,OM,80.74,clear sky,22.5667,59.5289,Sur Plaza Hotel
486,Westport,US,79.32,thunderstorm,41.1415,-73.3579,The Westport Inn
494,Odweyne,SO,76.71,overcast clouds,9.4092,45.064,Eng Hiirey House
495,Sola,VU,80.49,broken clouds,-13.8833,167.55,Leumerus Bungalows
496,Cockburn Town,TC,80.38,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
497,Guerrero Negro,MX,71.28,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
498,Rudbar,AF,78.48,clear sky,30.15,62.6,
499,Hami,CN,65.39,clear sky,42.8,93.45,Laoyutang Resort
500,Carolina,PR,82.94,thunderstorm,18.3808,-65.9574,Motel Fantasy Star
507,Katherine,AU,82.72,scattered clouds,-14.4667,132.2667,Pine Tree Motel
508,Matara,LK,76.73,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
509,Odienne,CI,73.47,overcast clouds,9.51,-7.5692,Oustaz Vame DIAKITE
510,Oliva,ES,73.72,clear sky,38.9197,-0.1194,Camping Kikopark
511,Sabha,LY,86.25,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
513,Karachi,PK,78.62,scattered clouds,24.9056,67.0822,Sadaat
520,Auki,SB,83.39,broken clouds,-8.7676,160.7034,Auki Motel
522,Mayumba,GA,75.18,light rain,-3.432,10.6554,LIKWALE LODGE
524,Saurimo,AO,67.32,light rain,-9.6608,20.3916,Hotel Kawissa Saurimo
525,Dingle,PH,78.57,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
526,Coromandel,BR,75.72,broken clouds,-18.4733,-47.2003,Hotel Dona Adélia
527,Gainesville,US,84.69,scattered clouds,29.6516,-82.3248,Stayable Select
528,Gatton,AU,73.63,clear sky,-27.55,152.2833,Room Motels Gatton
529,Yamasaki,JP,72.34,overcast clouds,35.0,134.55,Izawa village
531,Dakar,SN,81.48,overcast clouds,14.6937,-17.4441,Novotel Dakar
532,Nam Phong,TH,77.32,overcast clouds,16.7023,102.8557,Koon Garden Resort
535,Hermiston,US,86.14,clear sky,45.8404,-119.2895,Oxford Suites Hermiston
536,Dutse,NG,72.19,clear sky,11.7594,9.3392,Kaci
537,Akhmim,EG,79.56,clear sky,26.5622,31.745,برج الماسة السكني
539,Gizo,SB,83.43,light rain,-8.103,156.8419,Imagination Island
540,Isangel,VU,80.71,light intensity drizzle,-19.55,169.2667,Tanna Lodge
541,Salta,AR,66.79,scattered clouds,-24.7859,-65.4117,Hotel Alejandro I
548,Boromo,BF,74.8,broken clouds,11.75,-2.9333,Sama Camp
551,Hillsborough,US,77.86,broken clouds,37.5741,-122.3794,Hyatt Regency San Francisco Airport
552,Tuy Hoa,VN,75.38,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
553,Tateyama,JP,84.13,broken clouds,34.9833,139.8667,Tateyama Seaside Hotel
554,Galle,LK,78.21,overcast clouds,6.0367,80.217,Amangalla
555,Mount Isa,AU,85.77,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
556,Ukiah,US,75.09,broken clouds,39.1502,-123.2078,Hampton Inn Ukiah
557,Boende,CD,70.81,broken clouds,-0.2167,20.8667,
558,Fomboni,KM,75.69,clear sky,-12.28,43.7425,Auberge les abou
560,Farafangana,MG,68.97,light rain,-22.8167,47.8333,Miarina
561,Korla,CN,69.24,few clouds,41.7597,86.1469,Gulisitan Hotel
564,Alanya,TR,73.53,clear sky,36.5438,31.9998,Panorama Hotel
565,Guilin,CN,77.11,scattered clouds,25.2819,110.2864,Grand 0773 Hotel
568,Le Port,RE,68.0,clear sky,-20.9373,55.2919,KORBEY D'OR OUEST
569,Moroni,KM,73.42,clear sky,-11.7022,43.2551,Hotel Les Arcades
570,Aksu,CN,65.86,clear sky,41.1231,80.2644,Pudong Holiday Hotel
572,Yenagoa,NG,73.63,broken clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
576,Dalby,AU,66.33,clear sky,-27.1833,151.2667,Kobbers Motor Inn Dalby
581,Rumonge,BI,75.42,scattered clouds,-3.9736,29.4386,Kwetu Guest House
582,San Ramon,US,77.29,few clouds,37.7799,-121.978,San Ramon Marriott
583,Isla Vista,US,76.82,overcast clouds,34.4133,-119.861,Best Western Plus South Coast Inn
585,Yabrud,SY,65.91,clear sky,33.9674,36.6574,صالة افراح الاندلس
587,Carlsbad,US,86.97,clear sky,33.1581,-117.3506,Carlsbad Inn Beach Resort
588,Lazaro Cardenas,MX,79.81,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
589,Moranbah,AU,77.32,clear sky,-22.0016,148.0466,Property Vine - Monterey Moranbah
592,Diffa,NE,82.06,clear sky,13.3154,12.6113,ProDAF/Diffa
593,Kutum,SD,81.82,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
594,Rockland,US,71.65,overcast clouds,41.1668,-74.0496,National Camp Association
595,Makakilo City,US,86.32,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
597,Qiongshan,CN,78.78,scattered clouds,20.0058,110.3542,Sun City Restaurant
600,Naron,ES,68.85,clear sky,43.5167,-8.1528,Marcial
601,Mandali,IQ,86.9,clear sky,33.7499,45.5541,قرئ الشيخ سحاب الندا
603,Bronte,IT,68.23,clear sky,37.7895,14.8342,Alle Cordate dell'Etna
604,Esmeraldas,BR,69.04,clear sky,-19.7625,-44.3139,Forasteiro Pousada
605,Yuli,NG,71.56,overcast clouds,9.6989,10.2744,
606,Phultala,BD,78.3,scattered clouds,22.7,89.5167,রাখাল চন্দ্র ছাত্রা বাস
608,Iracoubo,GF,81.01,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
609,Williams Lake,CA,67.05,scattered clouds,52.1415,-122.1445,Stampeder Motel
612,Ruidoso,US,73.51,broken clouds,33.3317,-105.673,Inn of the Mountain Gods
613,Los Llanos De Aridane,ES,69.55,scattered clouds,28.6585,-17.9182,Valle Aridane
614,Lodja,CD,70.79,scattered clouds,-3.4833,23.4333,
615,Trincomalee,LK,80.37,overcast clouds,8.5711,81.2335,Welcombe Hotel
617,Am Timan,TD,74.26,broken clouds,11.0297,20.2827,Palais du chef Canton Salamt
618,Waingapu,ID,77.76,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
620,Milton,US,87.12,clear sky,34.1322,-84.3007,Pine Ridge Manufactured House
624,Tadine,NC,75.67,overcast clouds,-21.55,167.8833,
625,Adrian,US,80.6,clear sky,41.8975,-84.0372,"Holiday Inn Express Adrian, an IHG Hotel"
627,Ayorou,NE,83.16,overcast clouds,14.7308,0.9174,Hotel Amenokal
629,Tautira,PF,78.6,clear sky,-17.7333,-149.15,Pension Oaoa
630,Kashan,IR,80.19,clear sky,33.9831,51.4364,Manouchehri Traditional House And Hotel
632,Mitu,CO,78.04,broken clouds,1.1983,-70.1733,
633,Lucea,JM,85.86,clear sky,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
638,Moron,AR,66.96,scattered clouds,-34.6534,-58.6198,Hotel Morón
